,rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
936,1837,2735,0.0,1,428,3,9.0,15,1,0,0,0,0,0,0,0,Financial District,Manhattan
937,5592,2800,1.0,1,670,3,3.0,106,0,0,1,0,1,1,0,1,Chelsea,Manhattan
938,6792,8100,3.0,2,1309,11,17.0,31,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
940,5553,2650,0.0,1,549,2,14.0,29,0,0,0,1,1,0,0,0,Battery Park City,Manhattan
941,2666,2900,0.0,1,600,2,4.0,84,0,0,0,1,1,0,0,0,Midtown West,Manhattan
942,9098,5555,2.0,2,874,2,16.0,0,1,0,0,0,0,0,0,0,Midtown East,Manhattan
944,8163,15900,2.0,2,1591,2,37.0,56,0,0,1,0,1,0,0,0,Upper West Side,Manhattan
945,10515,3575,1.0,1,705,5,6.0,30,0,0,1,1,1,1,0,1,Upper East Side,Manhattan
946,1815,8750,3.0,2,1420,7,5.0,27,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
947,5268,5275,2.0,2,911,6,19.0,37,0,0,1,0,0,1,0,0,Midtown East,Manhattan
948,519,15000,3.0,3,2300,2,12.0,15,0,0,0,0,0,0,0,0,Chelsea,Manhattan
949,1795,7500,2.0,2,1265,3,5.0,10,0,0,0,0,1,0,0,0,Chelsea,Manhattan
951,6890,1895,0.0,1,400,1,14.0,89,0,1,1,1,1,1,0,1,Upper West Side,Manhattan
952,4336,4750,2.0,1,977,6,3.0,106,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
953,98,4600,0.0,2,1062,4,3.0,43,1,1,0,1,1,1,0,1,Financial District,Manhattan
954,4067,3150,1.0,1,560,2,4.0,86,1,0,0,0,0,0,0,0,Midtown West,Manhattan
955,1519,4050,1.0,1,762,3,19.0,29,1,0,0,1,1,0,0,1,Financial District,Manhattan
957,10159,7085,3.0,2,1439,7,7.0,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
958,11010,3595,0.0,1,598,4,3.0,7,1,0,0,1,1,1,0,1,Upper West Side,Manhattan
959,10147,3900,1.0,1,884,10,37.0,27,0,0,0,1,1,1,0,0,Midtown East,Manhattan
960,3888,3595,1.0,1,735,4,6.0,85,1,0,0,0,0,0,0,0,Financial District,Manhattan
961,8540,5250,2.0,1,1200,3,3.0,88,0,1,1,1,1,1,0,0,Upper West Side,Manhattan
963,3573,2495,1.0,1,550,2,3.0,116,0,0,0,0,1,0,0,0,East Village,Manhattan
964,6815,12500,3.0,3,1760,1,19.0,9,0,0,0,0,1,0,0,1,Upper East Side,Manhattan
965,8058,3645,1.0,1,600,2,8.0,99,1,0,0,1,0,0,0,0,Upper West Side,Manhattan
966,799,7350,2.0,2,1103,5,8.0,9,0,0,0,0,0,0,0,0,Tribeca,Manhattan
968,5301,5110,1.0,1,745,2,18.0,0,1,0,0,0,0,0,0,0,Midtown South,Manhattan
969,2935,2550,1.0,1,550,3,8.0,58,0,0,0,1,1,0,0,0,Midtown East,Manhattan
970,4571,2900,1.0,1,550,1,6.0,51,1,0,0,0,0,0,0,0,Midtown West,Manhattan
971,4372,4650,1.0,1,942,1,4.0,25,0,0,0,1,0,0,0,0,Upper West Side,Manhattan
972,8384,3800,3.0,1,1000,5,2.0,116,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
973,10505,3530,0.0,1,530,4,31.0,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
974,1074,2795,0.0,1,500,3,19.0,29,0,0,0,0,0,0,0,1,Financial District,Manhattan
975,3386,5800,2.0,1,950,3,2.0,116,1,1,0,0,0,0,0,1,East Village,Manhattan
977,10429,3500,1.0,1,693,3,3.0,15,1,1,0,0,1,0,0,1,Upper West Side,Manhattan
979,89,2215,1.0,1,710,5,7.0,7,1,0,0,0,0,0,0,0,East Harlem,Manhattan
981,5187,3325,1.0,1,628,6,5.0,14,1,1,1,1,1,1,0,1,Midtown West,Manhattan
982,10675,4250,1.0,1,809,7,21.0,33,1,0,0,0,0,0,0,0,Battery Park City,Manhattan
983,3470,8500,2.0,2,1400,5,10.0,9,0,1,0,0,1,0,0,0,Midtown,Manhattan
984,10563,2935,0.0,1,559,7,33.0,33,1,1,0,1,1,1,1,1,Battery Park City,Manhattan
985,4,8995,2.0,2,1667,11,40.0,31,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
988,8077,6594,2.0,2,1082,2,9.0,16,1,0,0,0,0,1,0,0,Flatiron,Manhattan
990,491,9850,2.0,2,1489,2,66.0,30,0,1,1,1,1,0,1,1,Midtown,Manhattan
992,5162,8200,2.0,2,1055,2,42.0,22,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
993,5544,6776,2.0,2,808,3,3.0,16,1,1,1,1,1,1,1,1,Chelsea,Manhattan
994,689,5999,1.0,1,1000,6,8.0,33,0,0,0,0,0,0,0,0,Midtown East,Manhattan
996,8492,2095,2.0,1,700,3,5.0,116,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
997,11142,2595,0.0,1,400,43,7.0,14,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
998,5963,3500,1.0,1,947,4,2.0,8,0,0,0,0,0,0,0,0,Lower East Side,Manhattan
1000,10330,3300,0.0,1,500,3,8.0,103,0,1,0,0,1,0,0,0,Flatiron,Manhattan
1004,5634,6800,4.0,2,1700,5,3.0,64,0,1,0,1,1,0,0,1,Midtown East,Manhattan
1009,1762,16000,2.0,2,1800,2,2.0,116,0,0,0,0,1,0,0,0,Greenwich Village,Manhattan
1010,552,3750,1.0,1,800,2,15.0,89,0,0,0,1,1,0,0,0,Midtown,Manhattan
1011,10925,3195,1.0,1,720,2,9.0,103,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1012,1004,4700,1.0,1,707,2,3.0,8,0,0,0,0,0,1,0,0,Chelsea,Manhattan
1013,9662,2805,0.0,1,472,4,14.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
1015,4952,4150,0.0,1,747,3,5.0,11,0,0,0,0,0,0,0,0,Tribeca,Manhattan
1016,8057,3515,1.0,1,750,1,8.0,116,1,0,0,0,0,0,0,0,Financial District,Manhattan
1017,677,5850,1.0,1,942,9,5.0,86,0,1,0,1,1,1,0,1,Midtown East,Manhattan
1018,4647,3850,1.0,1,770,6,4.0,59,0,1,1,1,1,1,0,0,Midtown East,Manhattan
1019,295,6350,1.0,2,1014,3,3.0,8,0,1,0,1,1,0,0,1,Chelsea,Manhattan
1021,7388,4000,1.0,1,750,2,14.0,14,1,0,0,0,0,0,0,0,Midtown South,Manhattan
1022,153,5250,3.0,3,1800,6,7.0,104,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
1023,2581,3645,1.0,1,674,4,4.0,28,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1024,5493,3725,1.0,1,591,6,7.0,29,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1025,5011,2695,2.0,1,805,7,7.0,9,0,1,1,0,1,1,0,0,East Harlem,Manhattan
1026,2949,2650,1.0,1,625,17,3.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1027,1983,1995,2.0,1,1000,6,36.0,89,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
1028,3457,6500,2.0,2,1500,1,13.0,90,0,1,1,1,1,0,1,1,Chelsea,Manhattan
1030,4055,3700,1.0,1,700,10,24.0,13,1,0,0,1,1,0,0,0,Midtown West,Manhattan
1031,6975,4500,1.0,1,733,6,11.0,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
1032,8197,3350,0.0,1,644,1,24.0,88,0,0,0,0,1,1,0,1,Financial District,Manhattan
1033,6228,5999,2.0,2,1248,4,3.0,9,0,0,1,1,1,1,0,0,Midtown East,Manhattan
1034,5383,2800,0.0,1,618,3,4.0,86,0,1,0,1,1,0,0,1,Financial District,Manhattan
1035,878,4350,1.0,1,715,2,15.0,17,1,0,0,0,0,0,0,0,Flatiron,Manhattan
1038,9545,2600,0.5,1,600,4,4.0,52,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1039,5157,3800,0.0,1,600,1,15.0,53,0,0,0,1,1,1,0,1,Upper East Side,Manhattan
1040,10342,2500,2.0,1,1000,5,1.0,106,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
1042,2411,2800,0.0,1,420,2,8.0,53,0,0,0,1,0,0,0,1,Midtown,Manhattan
1043,9957,2850,0.0,1,500,5,12.0,57,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1044,6047,6118,1.0,1,909,1,11.0,6,0,0,1,0,0,1,0,0,Tribeca,Manhattan
1045,1643,5995,2.0,2,1400,6,31.0,41,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1047,338,3850,1.0,1,780,6,17.0,28,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1048,8276,5395,1.0,1,558,3,5.0,2,1,0,0,0,0,0,0,0,East Village,Manhattan
1051,4224,3750,3.0,1,1100,6,4.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1052,10744,1443,1.0,1,550,4,3.0,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
1053,8727,2795,1.0,1,800,6,4.0,106,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1054,558,4500,4.0,2,1400,2,4.0,107,0,0,0,0,0,0,0,0,Morningside Heights,Manhattan
1056,2135,3600,2.0,2,1200,2,10.0,105,0,0,1,0,0,1,1,0,Upper West Side,Manhattan
1057,7648,3750,0.0,1,636,1,6.0,52,1,0,0,0,0,0,0,0,East Village,Manhattan
1058,9907,3800,3.0,1,1100,3,3.0,96,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1059,8512,12000,3.5,2,1600,1,5.0,105,0,0,1,1,1,0,0,0,West Village,Manhattan
1061,3780,5155,1.0,1,812,5,33.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1063,935,2500,2.0,1,1200,4,8.0,9,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
1064,6880,2250,0.0,1,500,5,4.0,54,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1065,7357,3750,1.0,1,646,3,17.0,11,0,0,0,1,0,0,0,0,Midtown South,Manhattan
1066,4769,4995,1.0,1,725,4,10.0,24,1,0,0,0,0,0,0,0,Gramercy Park,Manhattan
1067,7600,4198,0.0,1,851,3,17.0,44,1,0,0,0,0,0,0,0,Financial District,Manhattan
1068,10986,7500,1.0,1,1052,4,32.0,33,0,0,0,1,0,0,0,0,Midtown,Manhattan
1071,1870,3000,3.0,1,1400,1,1.0,96,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
1072,5384,3093,0.0,1,461,12,19.0,4,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1073,294,11000,3.0,3,1815,5,11.0,2,0,0,0,0,0,0,0,0,Tribeca,Manhattan
1074,3696,4195,1.0,1,854,5,27.0,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1075,5806,2700,0.0,1,452,3,20.0,29,0,0,0,1,1,1,0,1,Financial District,Manhattan
1076,2152,2499,2.0,1,700,5,5.0,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1077,3031,3865,1.0,1,910,5,8.0,1,1,0,0,0,0,0,0,0,East Harlem,Manhattan
1078,6942,5935,1.0,1,926,5,11.0,9,1,0,0,0,0,1,0,0,Tribeca,Manhattan
1079,5792,4950,1.0,2,981,9,5.0,8,1,0,1,1,1,0,1,1,Midtown West,Manhattan
1080,10979,4600,1.0,1,900,5,4.0,12,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1081,612,8500,3.0,2,1500,2,5.0,93,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1082,10345,3350,2.0,1,600,7,5.0,106,0,0,0,0,0,0,0,0,East Village,Manhattan
1084,1943,3550,1.0,1,581,5,7.0,37,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1087,5900,4600,1.0,1,717,6,8.0,2,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
1089,2820,4850,2.0,2,1010,2,5.0,90,1,0,0,0,0,0,0,0,Financial District,Manhattan
1090,8432,3150,1.0,1,750,3,3.0,106,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1091,6324,3400,1.0,1,700,1,3.0,15,1,1,0,1,1,0,0,1,Midtown West,Manhattan
1092,9001,2200,1.0,1,675,1,2.0,106,0,1,0,1,1,0,0,1,Upper West Side,Manhattan
1093,10141,3300,1.0,1,694,0,9.0,87,0,1,1,1,1,1,0,0,Financial District,Manhattan
1095,10644,7000,3.0,2,1394,10,12.0,53,1,0,1,0,1,1,0,0,Upper East Side,Manhattan
1096,4161,3850,0.0,1,605,2,6.0,10,0,0,0,0,0,1,1,0,Chelsea,Manhattan
1097,3313,6500,1.0,1,1100,4,18.0,43,0,0,1,0,0,1,0,0,Upper East Side,Manhattan
1098,773,12000,3.0,3,1737,43,20.0,8,0,0,0,1,1,0,0,1,Battery Park City,Manhattan
1099,4758,2975,0.0,1,402,5,6.0,13,1,1,0,1,1,1,0,0,West Village,Manhattan
1100,11151,3100,0.0,1,600,1,2.0,53,0,0,0,0,0,0,0,0,Midtown,Manhattan
1101,5386,2990,0.0,1,395,12,1.0,8,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1102,717,6995,2.0,2,1172,11,35.0,31,0,0,0,0,0,0,1,0,Upper East Side,Manhattan
1103,7672,3229,0.0,1,470,4,7.0,19,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1106,4716,3250,1.0,1,700,8,6.0,33,0,0,0,0,1,0,0,0,Midtown East,Manhattan
1108,5057,3254,0.0,1,403,2,11.0,16,1,0,0,0,0,0,0,0,Flatiron,Manhattan
1109,1371,8950,2.0,2,1449,2,13.0,10,0,0,0,1,1,0,0,1,Chelsea,Manhattan
1110,7918,3495,1.0,1,800,9,3.0,36,0,1,0,1,1,0,0,1,Midtown East,Manhattan
1113,8592,4850,2.0,2,938,4,13.0,85,1,0,0,0,0,0,0,0,Financial District,Manhattan
1114,7217,4995,1.0,1,947,5,7.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1115,221,2900,1.0,1,600,2,9.0,84,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1116,3302,3184,1.0,1,696,2,4.0,48,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1119,5980,3000,0.0,1,500,3,3.0,116,0,1,0,1,1,1,0,0,Greenwich Village,Manhattan
1121,5351,10400,3.0,2,1797,5,25.0,17,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1126,9316,2100,0.0,1,450,13,5.0,60,0,0,0,0,0,1,0,0,Upper East Side,Manhattan
1128,5519,3160,0.0,1,602,1,7.0,19,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1129,10360,3308,0.0,1,470,4,18.0,19,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1131,6706,3500,0.0,1,499,10,3.0,0,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1132,10943,4846,2.0,1,805,9,14.0,86,1,0,1,1,1,0,0,0,Gramercy Park,Manhattan
1135,10781,2300,1.0,1,611,9,6.0,12,1,1,1,1,1,0,0,1,East Harlem,Manhattan
1136,1035,2750,0.0,1,493,10,9.0,16,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1137,2907,2695,0.0,1,445,3,25.0,29,0,1,1,1,1,0,0,1,Financial District,Manhattan
1138,1046,6995,2.0,2,1091,2,14.0,92,0,1,0,1,0,0,0,1,Upper West Side,Manhattan
1139,9075,6000,2.0,2,1034,3,37.0,15,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1141,8585,2620,0.5,1,466,4,18.0,85,1,0,0,0,0,0,0,0,Financial District,Manhattan
1143,8688,4895,2.0,0,950,6,3.0,96,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1146,9783,3250,1.0,1,900,2,1.0,91,0,0,0,0,0,0,0,0,Morningside Heights,Manhattan
1147,7085,3498,0.0,1,464,2,15.0,13,1,1,1,1,1,1,0,1,Flatiron,Manhattan
1149,1509,1990,1.0,1,475,10,1.0,106,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1150,3053,2650,0.0,1,471,2,45.0,29,0,0,1,1,1,1,0,0,Midtown,Manhattan
1151,6071,5795,2.0,2,1133,2,19.0,41,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1152,1517,7500,2.0,2,1104,4,31.0,2,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1154,7818,2600,1.0,1,650,6,1.0,106,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1155,9850,6725,1.0,1,1021,5,18.0,37,1,1,0,1,1,1,0,1,Upper West Side,Manhattan
1156,5456,3200,0.0,1,622,5,10.0,31,0,0,0,0,0,1,0,1,Battery Park City,Manhattan
1158,8807,20000,3.0,3,2600,2,3.0,86,0,1,0,1,1,1,0,1,Soho,Manhattan
1159,7320,3640,1.0,1,664,1,8.0,19,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1160,895,4500,2.0,1,800,13,29.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1161,4008,5600,2.0,2,1049,5,30.0,17,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1162,6062,3900,2.0,1,1000,2,7.0,115,0,1,1,1,0,0,0,0,Midtown,Manhattan
1163,1778,3285,1.0,1,586,2,4.0,99,1,0,1,0,1,1,0,0,Upper West Side,Manhattan
1164,956,2850,0.0,1,500,6,2.0,59,0,0,1,0,0,0,0,0,Midtown East,Manhattan
1165,9620,3950,1.0,1,714,4,6.0,19,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1166,5820,2775,0.0,1,486,1,12.0,112,1,0,0,0,0,0,0,0,Financial District,Manhattan
1167,6662,3840,1.0,1,709,8,11.0,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1169,6805,2100,1.0,1,500,8,4.0,115,0,0,0,0,0,0,0,0,Midtown West,Manhattan
1171,6520,2295,0.0,1,250,2,1.0,118,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
1172,4053,3700,1.5,1,900,12,14.0,55,0,0,0,1,0,0,0,0,Midtown East,Manhattan
1173,7547,3550,1.0,1,900,2,6.0,89,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1174,2267,8500,2.0,2,1275,2,7.0,86,0,0,0,0,0,0,0,0,Tribeca,Manhattan
1175,5937,5500,1.0,1,925,3,4.0,101,0,1,1,1,1,1,1,1,Tribeca,Manhattan
1177,368,5345,2.0,2,1038,7,28.0,39,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1178,7503,5150,1.0,1,679,3,17.0,11,1,0,0,0,0,0,0,0,Flatiron,Manhattan
1179,1691,3965,1.0,1,629,7,25.0,39,1,0,0,0,0,0,1,0,Midtown East,Manhattan
1181,4915,4400,2.0,1,950,7,31.0,42,0,0,0,0,0,0,0,0,Midtown East,Manhattan
1183,8845,5340,2.0,2,971,8,9.0,16,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1184,11124,2100,0.0,1,400,5,1.0,101,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1185,9798,7250,3.0,2,1339,2,4.0,32,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1187,8269,2850,1.0,1,488,1,17.0,103,0,0,0,0,0,0,0,0,Midtown South,Manhattan
1188,1941,1987,1.0,1,850,2,3.0,88,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
1189,971,3600,1.0,1,668,5,7.0,30,0,0,0,1,1,1,0,0,Battery Park City,Manhattan
1191,8415,3300,1.5,1,650,13,16.0,9,0,0,0,0,0,1,0,0,Midtown West,Manhattan
1192,7606,3795,0.0,1,577,4,21.0,16,1,0,0,0,0,0,0,0,Chelsea,Manhattan
1193,3262,2400,2.0,1,1250,5,2.0,101,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
1194,864,4410,1.0,1,802,2,10.0,89,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1195,5581,9250,3.0,3,1800,4,9.0,106,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1196,395,3230,2.0,2,1000,5,8.0,7,1,0,0,0,0,0,0,0,East Harlem,Manhattan
1197,2036,3500,1.0,1,678,5,7.0,85,1,1,1,0,1,1,0,0,Upper East Side,Manhattan
1198,8393,4000,1.0,1,672,15,30.0,43,1,0,0,1,1,0,0,0,Midtown East,Manhattan
1199,4073,3813,0.0,1,826,4,20.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
1201,388,3750,1.0,1,679,3,30.0,86,0,1,1,1,1,0,0,1,Financial District,Manhattan
1207,1611,4590,1.0,1,730,3,12.0,89,1,1,0,1,1,0,0,1,Upper East Side,Manhattan
1208,10959,4056,2.0,1,920,7,8.0,29,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1209,4461,7250,4.0,3,2000,4,3.0,96,0,0,0,1,0,0,0,0,Upper East Side,Manhattan
1210,10570,3595,2.0,1,700,4,3.0,8,0,0,0,1,1,0,1,1,Lower East Side,Manhattan
1212,7757,8500,2.0,1,1613,3,8.0,101,0,0,0,1,1,0,0,1,Upper West Side,Manhattan
1213,8387,2950,1.0,1,587,3,22.0,36,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1214,6779,3600,1.0,1,775,4,9.0,85,0,0,1,1,1,0,0,1,Financial District,Manhattan
1215,6140,3730,1.0,1,740,2,28.0,9,1,0,0,0,0,0,0,0,Financial District,Manhattan
1216,2349,3100,0.0,1,550,2,9.0,55,1,0,0,0,0,1,0,0,Greenwich Village,Manhattan
1218,5750,3495,2.0,1,750,3,2.0,126,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1219,2223,3700,3.0,2,1250,3,3.0,96,0,1,0,1,1,0,1,0,Inwood,Manhattan
1221,3796,3850,1.0,1,817,2,4.0,85,1,1,0,0,1,1,0,0,Upper West Side,Manhattan
1222,1164,3600,2.0,1,700,2,6.0,86,0,0,1,0,0,0,0,0,Midtown East,Manhattan
1223,2933,2095,0.0,1,475,3,6.0,91,0,0,0,0,0,0,0,0,Flatiron,Manhattan
1224,3863,7650,2.0,2,1235,4,20.0,11,1,0,0,1,1,0,0,0,Upper West Side,Manhattan
1226,4492,2790,0.0,1,421,5,5.0,17,1,1,0,1,1,1,0,1,Upper West Side,Manhattan
1227,3368,3295,1.0,1,628,6,31.0,37,0,1,1,1,1,1,1,1,Midtown East,Manhattan
1228,9890,3000,3.0,2,620,11,1.0,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1229,1305,8900,2.0,2,1100,4,35.0,33,0,0,0,1,0,0,1,0,Midtown,Manhattan
1231,8839,2960,0.0,1,537,1,7.0,116,1,0,0,0,0,0,0,0,Financial District,Manhattan
1232,6505,4400,1.0,1,692,2,8.0,29,0,1,1,1,1,1,0,1,Tribeca,Manhattan
1233,4244,2995,0.0,1,500,1,11.0,29,0,0,0,0,0,0,0,0,Tribeca,Manhattan
1234,7054,1950,1.0,1,596,5,3.0,57,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
1235,5772,3850,1.0,1,675,5,3.0,61,0,0,0,0,0,0,0,0,Gramercy Park,Manhattan
1236,131,4000,3.0,1,1000,5,5.0,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1237,277,5819,2.0,1,1121,2,19.0,116,1,0,0,0,0,0,0,0,Financial District,Manhattan
1238,6421,4100,1.0,1,944,8,13.0,69,1,0,0,1,1,0,0,0,Stuyvesant Town/PCV,Manhattan
1239,10703,4195,4.0,2,1300,4,2.0,91,0,0,0,0,1,0,1,1,Upper West Side,Manhattan
1240,10302,4200,1.0,1,535,0,7.0,4,0,0,0,0,0,0,0,0,East Village,Manhattan
1241,299,3825,1.0,1,764,7,5.0,39,1,0,0,0,0,1,0,0,Midtown East,Manhattan
1242,1822,5250,1.0,1,1158,1,8.0,180,0,0,0,0,1,0,0,0,Financial District,Manhattan
1243,2996,3400,2.0,1,800,6,3.0,106,0,0,0,0,1,0,0,0,Upper West Side,Manhattan
1247,430,2723,0.0,1,457,4,22.0,47,1,0,0,0,0,0,0,0,Financial District,Manhattan
1248,1176,3800,2.0,1,817,1,7.0,8,0,0,0,0,0,0,0,0,Chinatown,Manhattan
1249,10117,15000,2.0,2,2000,4,4.0,13,0,1,0,0,0,1,0,0,Tribeca,Manhattan
1250,1598,3800,1.0,1,700,13,5.0,9,0,0,0,0,1,1,0,0,Midtown West,Manhattan
1251,8826,3342,1.0,1,648,14,18.0,30,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1252,505,7880,3.0,2,1500,4,16.0,35,1,1,0,1,1,0,0,1,Midtown East,Manhattan
1254,7851,4965,1.0,1,812,5,32.0,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
1259,239,16000,4.0,4,2110,8,16.0,29,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1260,5675,1600,0.0,1,550,5,1.0,11,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
1262,11246,3187,2.0,1,650,2,18.0,29,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
1263,5001,2750,1.0,1,550,8,1.0,96,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1265,1843,5958,2.0,2,1300,1,21.0,51,1,0,0,1,1,0,0,0,Midtown West,Manhattan
1268,6947,4100,2.0,2,940,2,3.0,12,0,1,0,0,1,0,0,1,Chinatown,Manhattan
1269,4428,3600,2.0,1,710,6,34.0,37,0,0,1,0,1,1,0,0,Midtown East,Manhattan
1270,10894,3700,1.0,1,600,5,9.0,37,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1271,8645,2700,0.0,1,550,5,16.0,59,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
1272,1244,4000,3.0,1,700,5,10.0,96,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1274,8877,3300,1.0,1,650,10,5.0,18,1,0,0,0,0,0,0,0,Upper East Side,Manhattan
1275,2717,2350,1.0,1,771,5,16.0,58,1,0,0,0,0,0,0,0,Central Harlem,Manhattan
1276,6151,3795,2.0,1,750,2,11.0,116,0,0,0,0,1,0,0,0,Financial District,Manhattan
1277,10080,7500,3.0,2,1300,3,16.0,27,1,1,0,1,1,1,0,1,Upper West Side,Manhattan
1278,90,5771,2.0,2,1018,9,10.0,9,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1281,8519,4600,1.0,1,960,5,22.0,9,0,1,1,1,1,0,0,0,Midtown,Manhattan
1282,7922,3400,1.0,1,850,3,7.0,87,0,0,0,0,0,0,0,0,Upper West Side,Manhattan
1285,1110,3715,1.0,1,591,6,11.0,113,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
1287,944,2750,0.0,1,595,1,8.0,76,0,0,1,0,1,1,0,1,Financial District,Manhattan
1289,10053,1600,1.0,1,450,3,3.0,116,0,0,0,0,0,0,0,0,Washington Heights,Manhattan
1290,7819,6500,2.0,2,1188,2,64.0,29,0,1,0,1,1,0,0,1,Midtown,Manhattan
1293,3820,1500,0.0,1,450,2,3.0,106,0,0,0,0,0,0,0,0,Hamilton Heights,Manhattan
1296,2769,2795,1.0,1,700,9,13.0,42,0,0,1,0,1,0,0,0,Upper East Side,Manhattan
1297,1662,3211,1.0,1,775,2,17.0,53,1,0,0,1,0,0,0,0,Midtown,Manhattan
1298,6710,6900,2.0,2,1196,10,4.0,0,1,0,0,0,0,0,0,0,Midtown West,Manhattan
1299,9647,2450,2.0,1,870,3,5.0,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
1303,7425,4400,1.0,1,750,2,2.0,30,0,0,0,0,1,0,0,0,Flatiron,Manhattan
